sim-id,trigtime,ra,dec,H1-snr,L1-snr,V1-snr,snr,npix,logZ-tensor-R-1,logZ-err-tensor-R-1,logZ-tensor-N-0,logZ-err-tensor-N-0,logZ-vector-R-1,logZ-err-vector-R-1,logZ-vector-N-0,logZ-err-vector-N-0,logZ-scalar-N-0,logZ-err-scalar-N-0,logZ-scalar-P-1,logZ-err-scalar-P-1
29,966408367.7889053,1.402341008,-1.013277054,18.83573641,12.070675703,5.785230027999999,23.107467721731584,77,-9.39040313346241,0.04915689394306803,-6.4380224100007215,0.023567085217642125,-9.124382934862158,0.03979541222156206,-6.117202988749819,0.02036386266396322,-9.909495124257388,0.04645778181185474,-7.06010989320152,0.017633923474545017
30,966409213.346088,3.402846098,0.39415350600000004,14.056903869000001,21.725916549,1.8104091130000002,25.94011521626018,90,-7.589110400755482,0.032161656730181544,-6.929442876916358,0.016368496611225275,-7.182331088691269,0.026663941825786356,-6.524915341030124,0.01508960120755415,-10.772252118569483,0.0899554990409456,-4.7387239096432285,0.012067714894494434
31,966410092.97924,0.29302999399999996,-1.17513597,15.97884017,12.782186505999999,10.81452657,23.14436454054874,73,-9.829478120450778,0.07700816526416919,-7.258056305249239,0.023272048394756946,-10.851986675247236,0.057101244729334255,-6.645343411269276,0.025114438189362254,-16.599519334663235,0.057467306330592334,-9.042163447817051,0.03555066426754454
32,966410931.1897149,2.840524912,0.426784396,16.083900735,20.031635495,12.773861727,28.690239226580054,92,-14.945508019019817,0.030430815631497105,-7.11488213032948,0.03170650533089231,-23.1133828397095,0.05446497677608221,-7.0008046910953725,0.02381233459856343,-24.558328178841023,0.05903163568339471,-11.787270283046446,0.049171127890750954
33,966411642.324408,1.7731980090000001,0.784594715,10.410547588,8.953186149,18.842239395,23.314566878223324,88,-13.414802667600902,0.08141368730011583,-6.91072533996533,0.022398309677123075,-14.712574638668272,0.14648251286482325,-7.483193174214727,0.02145985393653841,-15.564841933537949,0.0370208890752469,-8.691636100737787,0.03560650229261935
34,966412520.1734225,2.3241679669999997,0.913681209,5.126168923,1.308099704,17.967560785,18.73024220946984,51,-6.770392538013641,0.019859435110809665,-4.562621769797348,0.011528296004378257,-7.569441676453496,0.02614736269077105,-4.588543502550116,0.01150524521915164,-5.706363685074627,0.018599935340506593,-5.304958036773327,0.014447047917239825
35,966413373.8141752,4.67776823,-0.090007491,15.277083756,13.982894988,16.267392825,26.33512311830222,85,-20.150724018520584,0.17646363430203849,-7.897123463107818,0.04068576755211385,-25.53133479730444,0.11823720946511672,-7.507498071325744,0.02879396241081745,-36.701311985283866,0.05880082113014807,-11.186046289770434,0.07700878711646177
36,966414245.4995545,1.940791011,0.266078502,6.799313173,13.432403606,16.319745767,22.203473335461,81,-10.383986047929717,0.05746008984554572,-7.268736501580316,0.025401032793045113,-15.133204787005283,0.06102139315066332,-6.662828779101745,0.025113317360848212,-11.24000308783941,0.11576692151613124,-7.780987318184639,0.0167851981356063
37,966415025.0180658,4.30198288,-0.26366201,9.722927426,17.173296412,12.395941105,23.30486608552608,74,-9.740281045925466,0.042702406796742115,-7.041583643258772,0.02959161125858084,-12.094085601428008,0.04284978241573949,-7.129709844425177,0.0218664329980892,-10.21751808523551,0.0949055154009864,-7.714799153094041,0.026177749741404705
38,966415841.154488,4.205428123,-0.10116810400000001,6.918862794,19.553953362,10.791621779000002,23.381335613400186,53,-8.8980155731815,0.014696005304553504,-6.911148419080665,0.02538869935423499,-23.659740640244735,0.01926586814878214,-7.193908456383066,0.02601667635955668,-9.178873057883777,0.042747559345347984,-5.651460492227885,0.015106501338740615
